id	split	utterance	intent	slots_json	expected_action	data_tier	build_pack	conflict_hint	ambiguity_hint	review_status	reviewer_note
s300_DELAYSTART_00177	train	127분 뒤에 시작해줘	DELAY_START	"{""delay_start_min"":127}"	accept	synthetic_combinatorial_v1	expanded_300_v1			PENDING	synthetic_review_required
s300_DELAYSTART_00178	train	140분 뒤에 시작해줘	DELAY_START	"{""delay_start_min"":140}"	accept	synthetic_combinatorial_v1	expanded_300_v1			PENDING	synthetic_review_required
s300_DELAYSTART_00179	train	153분 뒤에 시작해줘	DELAY_START	"{""delay_start_min"":153}"	accept	synthetic_combinatorial_v1	expanded_300_v1			PENDING	synthetic_review_required
s300_DELAYSTART_00180	train	166분 뒤에 시작해줘	DELAY_START	"{""delay_start_min"":166}"	accept	synthetic_combinatorial_v1	expanded_300_v1			PENDING	synthetic_review_required
s300_DELAYSTART_00181	train	179분 뒤에 시작해줘	DELAY_START	"{""delay_start_min"":179}"	accept	synthetic_combinatorial_v1	expanded_300_v1			PENDING	synthetic_review_required
s300_DELAYSTART_00182	train	12분 뒤에 시작해줘	DELAY_START	"{""delay_start_min"":12}"	accept	synthetic_combinatorial_v1	expanded_300_v1			PENDING	synthetic_review_required
s300_DELAYSTART_00183	train	25분 뒤에 시작해줘	DELAY_START	"{""delay_start_min"":25}"	accept	synthetic_combinatorial_v1	expanded_300_v1			PENDING	synthetic_review_required
s300_DELAYSTART_00184	train	38분 뒤에 시작해줘	DELAY_START	"{""delay_start_min"":38}"	accept	synthetic_combinatorial_v1	expanded_300_v1			PENDING	synthetic_review_required
s300_DELAYSTART_00185	holdout	51분 뒤에 시작해줘	DELAY_START	"{""delay_start_min"":51}"	accept	synthetic_combinatorial_v1	expanded_300_v1			PENDING	synthetic_review_required
s300_DELAYSTART_00186	holdout	64분 뒤에 시작해줘	DELAY_START	"{""delay_start_min"":64}"	accept	synthetic_combinatorial_v1	expanded_300_v1			PENDING	synthetic_review_required
s300_DELAYSTART_00187	holdout	77분 뒤에 시작해줘	DELAY_START	"{""delay_start_min"":77}"	accept	synthetic_combinatorial_v1	expanded_300_v1			PENDING	synthetic_review_required
s300_DELAYSTART_00188	holdout	90분 뒤에 시작해줘	DELAY_START	"{""delay_start_min"":90}"	accept	synthetic_combinatorial_v1	expanded_300_v1			PENDING	synthetic_review_required
s300_DELAYSTART_00189	holdout	103분 뒤에 시작해줘	DELAY_START	"{""delay_start_min"":103}"	accept	synthetic_combinatorial_v1	expanded_300_v1			PENDING	synthetic_review_required
s300_DELAYSTART_00190	holdout	116분 뒤에 시작해줘	DELAY_START	"{""delay_start_min"":116}"	accept	synthetic_combinatorial_v1	expanded_300_v1			PENDING	synthetic_review_required
s300_DELAYSTART_00191	holdout	129분 뒤에 시작해줘	DELAY_START	"{""delay_start_min"":129}"	accept	synthetic_combinatorial_v1	expanded_300_v1			PENDING	synthetic_review_required
s300_DELAYSTART_00192	holdout	142분 뒤에 시작해줘	DELAY_START	"{""delay_start_min"":142}"	accept	synthetic_combinatorial_v1	expanded_300_v1			PENDING	synthetic_review_required
s300_NOTIFYWHENDONE_00193	train	끝나면 app로 알려줘	NOTIFY_WHEN_DONE	"{""notify_channel"":""app""}"	accept	synthetic_combinatorial_v1	expanded_300_v1			PENDING	synthetic_review_required
s300_NOTIFYWHENDONE_00194	train	끝나면 tv로 알려줘	NOTIFY_WHEN_DONE	"{""notify_channel"":""tv""}"	accept	synthetic_combinatorial_v1	expanded_300_v1			PENDING	synthetic_review_required
s300_NOTIFYWHENDONE_00195	train	끝나면 app로 알려줘	NOTIFY_WHEN_DONE	"{""notify_channel"":""app""}"	accept	synthetic_combinatorial_v1	expanded_300_v1			PENDING	synthetic_review_required
s300_NOTIFYWHENDONE_00196	train	끝나면 tv로 알려줘	NOTIFY_WHEN_DONE	"{""notify_channel"":""tv""}"	accept	synthetic_combinatorial_v1	expanded_300_v1			PENDING	synthetic_review_required
s300_NOTIFYWHENDONE_00197	train	끝나면 app로 알려줘	NOTIFY_WHEN_DONE	"{""notify_channel"":""app""}"	accept	synthetic_combinatorial_v1	expanded_300_v1			PENDING	synthetic_review_required
s300_NOTIFYWHENDONE_00198	train	끝나면 tv로 알려줘	NOTIFY_WHEN_DONE	"{""notify_channel"":""tv""}"	accept	synthetic_combinatorial_v1	expanded_300_v1			PENDING	synthetic_review_required
s300_NOTIFYWHENDONE_00199	train	끝나면 app로 알려줘	NOTIFY_WHEN_DONE	"{""notify_channel"":""app""}"	accept	synthetic_combinatorial_v1	expanded_300_v1			PENDING	synthetic_review_required
s300_NOTIFYWHENDONE_00200	train	끝나면 tv로 알려줘	NOTIFY_WHEN_DONE	"{""notify_channel"":""tv""}"	accept	synthetic_combinatorial_v1	expanded_300_v1			PENDING	synthetic_review_required
s300_NOTIFYWHENDONE_00201	train	끝나면 알려줘	NOTIFY_WHEN_DONE	{}	reask	synthetic_combinatorial_v1	expanded_300_v1		notification_channel_not_specified	PENDING	synthetic_review_required
s300_NOTIFYWHENDONE_00202	train	끝나면 tv로 알려줘	NOTIFY_WHEN_DONE	"{""notify_channel"":""tv""}"	accept	synthetic_combinatorial_v1	expanded_300_v1			PENDING	synthetic_review_required
s300_NOTIFYWHENDONE_00203	train	끝나면 app로 알려줘	NOTIFY_WHEN_DONE	"{""notify_channel"":""app""}"	accept	synthetic_combinatorial_v1	expanded_300_v1			PENDING	synthetic_review_required
s300_NOTIFYWHENDONE_00204	train	끝나면 tv로 알려줘	NOTIFY_WHEN_DONE	"{""notify_channel"":""tv""}"	accept	synthetic_combinatorial_v1	expanded_300_v1			PENDING	synthetic_review_required
s300_NOTIFYWHENDONE_00205	train	끝나면 app로 알려줘	NOTIFY_WHEN_DONE	"{""notify_channel"":""app""}"	accept	synthetic_combinatorial_v1	expanded_300_v1			PENDING	synthetic_review_required
s300_NOTIFYWHENDONE_00206	train	끝나면 tv로 알려줘	NOTIFY_WHEN_DONE	"{""notify_channel"":""tv""}"	accept	synthetic_combinatorial_v1	expanded_300_v1			PENDING	synthetic_review_required
s300_NOTIFYWHENDONE_00207	train	끝나면 app로 알려줘	NOTIFY_WHEN_DONE	"{""notify_channel"":""app""}"	accept	synthetic_combinatorial_v1	expanded_300_v1			PENDING	synthetic_review_required
s300_NOTIFYWHENDONE_00208	train	끝나면 tv로 알려줘	NOTIFY_WHEN_DONE	"{""notify_channel"":""tv""}"	accept	synthetic_combinatorial_v1	expanded_300_v1			PENDING	synthetic_review_required
s300_NOTIFYWHENDONE_00209	holdout	끝나면 app로 알려줘	NOTIFY_WHEN_DONE	"{""notify_channel"":""app""}"	accept	synthetic_combinatorial_v1	expanded_300_v1			PENDING	synthetic_review_required
s300_NOTIFYWHENDONE_00210	holdout	끝나면 알려줘	NOTIFY_WHEN_DONE	{}	reask	synthetic_combinatorial_v1	expanded_300_v1		notification_channel_not_specified	PENDING	synthetic_review_required
s300_NOTIFYWHENDONE_00211	holdout	끝나면 app로 알려줘	NOTIFY_WHEN_DONE	"{""notify_channel"":""app""}"	accept	synthetic_combinatorial_v1	expanded_300_v1			PENDING	synthetic_review_required
s300_NOTIFYWHENDONE_00212	holdout	끝나면 tv로 알려줘	NOTIFY_WHEN_DONE	"{""notify_channel"":""tv""}"	accept	synthetic_combinatorial_v1	expanded_300_v1			PENDING	synthetic_review_required
s300_NOTIFYWHENDONE_00213	holdout	끝나면 app로 알려줘	NOTIFY_WHEN_DONE	"{""notify_channel"":""app""}"	accept	synthetic_combinatorial_v1	expanded_300_v1			PENDING	synthetic_review_required
s300_NOTIFYWHENDONE_00214	holdout	끝나면 tv로 알려줘	NOTIFY_WHEN_DONE	"{""notify_channel"":""tv""}"	accept	synthetic_combinatorial_v1	expanded_300_v1			PENDING	synthetic_review_required
s300_PAUSECYCLE_00228	train	잠깐 멈춰줘	PAUSE_CYCLE	{}	accept	synthetic_combinatorial_v1	expanded_300_v1			PENDING	synthetic_review_required
s300_PAUSECYCLE_00229	train	세탁 멈춰	PAUSE_CYCLE	{}	accept	synthetic_combinatorial_v1	expanded_300_v1			PENDING	synthetic_review_required
s300_PAUSECYCLE_00230	train	일시정지해줘	PAUSE_CYCLE	{}	accept	synthetic_combinatorial_v1	expanded_300_v1			PENDING	synthetic_review_required
s300_PAUSECYCLE_00231	train	잠깐 멈춰줘	PAUSE_CYCLE	{}	accept	synthetic_combinatorial_v1	expanded_300_v1			PENDING	synthetic_review_required
s300_PAUSECYCLE_00232	train	세탁 멈춰	PAUSE_CYCLE	{}	accept	synthetic_combinatorial_v1	expanded_300_v1			PENDING	synthetic_review_required
s300_PAUSECYCLE_00233	train	일시정지해줘	PAUSE_CYCLE	{}	accept	synthetic_combinatorial_v1	expanded_300_v1			PENDING	synthetic_review_required
s300_PAUSECYCLE_00234	train	잠깐 멈춰줘	PAUSE_CYCLE	{}	accept	synthetic_combinatorial_v1	expanded_300_v1			PENDING	synthetic_review_required
s300_PAUSECYCLE_00235	holdout	세탁 멈춰	PAUSE_CYCLE	{}	accept	synthetic_combinatorial_v1	expanded_300_v1			PENDING	synthetic_review_required
s300_PAUSECYCLE_00236	holdout	일시정지해줘	PAUSE_CYCLE	{}	accept	synthetic_combinatorial_v1	expanded_300_v1			PENDING	synthetic_review_required
s300_QUERYSTATUS_00215	train	지금 상태 알려줘	QUERY_STATUS	{}	accept	synthetic_combinatorial_v1	expanded_300_v1			PENDING	synthetic_review_required
s300_QUERYSTATUS_00216	train	남은 시간 얼마야	QUERY_STATUS	{}	accept	synthetic_combinatorial_v1	expanded_300_v1			PENDING	synthetic_review_required
s300_QUERYSTATUS_00217	train	지금 어느 단계야	QUERY_STATUS	{}	accept	synthetic_combinatorial_v1	expanded_300_v1			PENDING	synthetic_review_required
s300_QUERYSTATUS_00218	train	에러 있어?	QUERY_STATUS	{}	accept	synthetic_combinatorial_v1	expanded_300_v1			PENDING	synthetic_review_required
s300_QUERYSTATUS_00219	train	문 열어도 돼?	QUERY_STATUS	{}	accept	synthetic_combinatorial_v1	expanded_300_v1			PENDING	synthetic_review_required
s300_QUERYSTATUS_00220	train	지금 상태 알려줘	QUERY_STATUS	{}	accept	synthetic_combinatorial_v1	expanded_300_v1			PENDING	synthetic_review_required
s300_QUERYSTATUS_00221	train	남은 시간 얼마야	QUERY_STATUS	{}	accept	synthetic_combinatorial_v1	expanded_300_v1			PENDING	synthetic_review_required
s300_QUERYSTATUS_00222	train	지금 어느 단계야	QUERY_STATUS	{}	accept	synthetic_combinatorial_v1	expanded_300_v1			PENDING	synthetic_review_required
s300_QUERYSTATUS_00223	train	에러 있어?	QUERY_STATUS	{}	accept	synthetic_combinatorial_v1	expanded_300_v1			PENDING	synthetic_review_required
s300_QUERYSTATUS_00224	holdout	문 열어도 돼?	QUERY_STATUS	{}	accept	synthetic_combinatorial_v1	expanded_300_v1			PENDING	synthetic_review_required
s300_QUERYSTATUS_00225	holdout	지금 상태 알려줘	QUERY_STATUS	{}	accept	synthetic_combinatorial_v1	expanded_300_v1			PENDING	synthetic_review_required
s300_QUERYSTATUS_00226	holdout	남은 시간 얼마야	QUERY_STATUS	{}	accept	synthetic_combinatorial_v1	expanded_300_v1			PENDING	synthetic_review_required
s300_QUERYSTATUS_00227	holdout	지금 어느 단계야	QUERY_STATUS	{}	accept	synthetic_combinatorial_v1	expanded_300_v1			PENDING	synthetic_review_required
s300_RESUMECYCLE_00237	train	다시 시작해줘	RESUME_CYCLE	{}	accept	synthetic_combinatorial_v1	expanded_300_v1			PENDING	synthetic_review_required
s300_RESUMECYCLE_00238	train	이어서 돌려줘	RESUME_CYCLE	{}	accept	synthetic_combinatorial_v1	expanded_300_v1			PENDING	synthetic_review_required
s300_RESUMECYCLE_00239	train	재개해줘	RESUME_CYCLE	{}	accept	synthetic_combinatorial_v1	expanded_300_v1			PENDING	synthetic_review_required
s300_RESUMECYCLE_00240	train	다시 시작해줘	RESUME_CYCLE	{}	accept	synthetic_combinatorial_v1	expanded_300_v1			PENDING	synthetic_review_required
s300_RESUMECYCLE_00241	train	이어서 돌려줘	RESUME_CYCLE	{}	accept	synthetic_combinatorial_v1	expanded_300_v1			PENDING	synthetic_review_required
s300_RESUMECYCLE_00242	train	재개해줘	RESUME_CYCLE	{}	accept	synthetic_combinatorial_v1	expanded_300_v1			PENDING	synthetic_review_required
s300_RESUMECYCLE_00243	train	다시 시작해줘	RESUME_CYCLE	{}	accept	synthetic_combinatorial_v1	expanded_300_v1			PENDING	synthetic_review_required
s300_RESUMECYCLE_00244	holdout	이어서 돌려줘	RESUME_CYCLE	{}	accept	synthetic_combinatorial_v1	expanded_300_v1			PENDING	synthetic_review_required
s300_RESUMECYCLE_00245	holdout	재개해줘	RESUME_CYCLE	{}	accept	synthetic_combinatorial_v1	expanded_300_v1			PENDING	synthetic_review_required
s300_SETCOURSE_00001	train	표준 코스로 실행해줘	SET_COURSE	"{""course"":""표준""}"	accept	synthetic_combinatorial_v1	expanded_300_v1			PENDING	synthetic_review_required
s300_SETCOURSE_00002	train	쾌속 코스로 실행해줘	SET_COURSE	"{""course"":""쾌속""}"	accept	synthetic_combinatorial_v1	expanded_300_v1			PENDING	synthetic_review_required
s300_SETCOURSE_00003	train	울 코스로 실행해줘	SET_COURSE	"{""course"":""울""}"	accept	synthetic_combinatorial_v1	expanded_300_v1			PENDING	synthetic_review_required
s300_SETCOURSE_00004	train	불림 코스로 실행해줘	SET_COURSE	"{""course"":""불림""}"	accept	synthetic_combinatorial_v1	expanded_300_v1			PENDING	synthetic_review_required
s300_SETCOURSE_00005	train	헹굼만 코스로 실행해줘	SET_COURSE	"{""course"":""헹굼만""}"	accept	synthetic_combinatorial_v1	expanded_300_v1			PENDING	synthetic_review_required
s300_SETCOURSE_00006	train	탈수만 코스로 실행해줘	SET_COURSE	"{""course"":""탈수만""}"	accept	synthetic_combinatorial_v1	expanded_300_v1			PENDING	synthetic_review_required
s300_SETCOURSE_00007	train	표준 코스로 실행해줘	SET_COURSE	"{""course"":""표준""}"	accept	synthetic_combinatorial_v1	expanded_300_v1			PENDING	synthetic_review_required
s300_SETCOURSE_00008	train	쾌속 코스로 실행해줘	SET_COURSE	"{""course"":""쾌속""}"	accept	synthetic_combinatorial_v1	expanded_300_v1			PENDING	synthetic_review_required
s300_SETCOURSE_00009	train	울 코스로 실행해줘	SET_COURSE	"{""course"":""울""}"	accept	synthetic_combinatorial_v1	expanded_300_v1			PENDING	synthetic_review_required
s300_SETCOURSE_00010	train	불림 코스로 실행해줘	SET_COURSE	"{""course"":""불림""}"	accept	synthetic_combinatorial_v1	expanded_300_v1			PENDING	synthetic_review_required
s300_SETCOURSE_00011	train	빨리 끝나는 걸로 해줘	SET_COURSE	{}	reask	synthetic_combinatorial_v1	expanded_300_v1		course_not_specified	PENDING	synthetic_review_required
s300_SETCOURSE_00012	train	탈수만 코스로 실행해줘	SET_COURSE	"{""course"":""탈수만""}"	accept	synthetic_combinatorial_v1	expanded_300_v1			PENDING	synthetic_review_required
s300_SETCOURSE_00013	train	표준 코스로 90도 돌려줘	SET_COURSE	"{""course"":""표준"",""temperature_c"":90}"	reask_or_reject	synthetic_combinatorial_v1	expanded_300_v1	course_temperature_conflict		PENDING	synthetic_review_required
s300_SETCOURSE_00014	train	쾌속 코스로 실행해줘	SET_COURSE	"{""course"":""쾌속""}"	accept	synthetic_combinatorial_v1	expanded_300_v1			PENDING	synthetic_review_required
s300_SETCOURSE_00015	train	울 코스로 실행해줘	SET_COURSE	"{""course"":""울""}"	accept	synthetic_combinatorial_v1	expanded_300_v1			PENDING	synthetic_review_required
s300_SETCOURSE_00016	train	불림 코스로 실행해줘	SET_COURSE	"{""course"":""불림""}"	accept	synthetic_combinatorial_v1	expanded_300_v1			PENDING	synthetic_review_required
s300_SETCOURSE_00017	train	헹굼만 코스로 실행해줘	SET_COURSE	"{""course"":""헹굼만""}"	accept	synthetic_combinatorial_v1	expanded_300_v1			PENDING	synthetic_review_required
s300_SETCOURSE_00018	train	탈수만 코스로 실행해줘	SET_COURSE	"{""course"":""탈수만""}"	accept	synthetic_combinatorial_v1	expanded_300_v1			PENDING	synthetic_review_required
s300_SETCOURSE_00019	train	표준 코스로 실행해줘	SET_COURSE	"{""course"":""표준""}"	accept	synthetic_combinatorial_v1	expanded_300_v1			PENDING	synthetic_review_required
s300_SETCOURSE_00020	train	쾌속 코스로 실행해줘	SET_COURSE	"{""course"":""쾌속""}"	accept	synthetic_combinatorial_v1	expanded_300_v1			PENDING	synthetic_review_required
s300_SETCOURSE_00021	train	울 코스로 실행해줘	SET_COURSE	"{""course"":""울""}"	accept	synthetic_combinatorial_v1	expanded_300_v1			PENDING	synthetic_review_required
s300_SETCOURSE_00022	train	빨리 끝나는 걸로 해줘	SET_COURSE	{}	reask	synthetic_combinatorial_v1	expanded_300_v1		course_not_specified	PENDING	synthetic_review_required
s300_SETCOURSE_00023	train	헹굼만 코스로 실행해줘	SET_COURSE	"{""course"":""헹굼만""}"	accept	synthetic_combinatorial_v1	expanded_300_v1			PENDING	synthetic_review_required
s300_SETCOURSE_00024	train	탈수만 코스로 실행해줘	SET_COURSE	"{""course"":""탈수만""}"	accept	synthetic_combinatorial_v1	expanded_300_v1			PENDING	synthetic_review_required
s300_SETCOURSE_00025	train	표준 코스로 실행해줘	SET_COURSE	"{""course"":""표준""}"	accept	synthetic_combinatorial_v1	expanded_300_v1			PENDING	synthetic_review_required
s300_SETCOURSE_00026	train	쾌속 코스로 90도 돌려줘	SET_COURSE	"{""course"":""쾌속"",""temperature_c"":90}"	reask_or_reject	synthetic_combinatorial_v1	expanded_300_v1	course_temperature_conflict		PENDING	synthetic_review_required
s300_SETCOURSE_00027	train	울 코스로 실행해줘	SET_COURSE	"{""course"":""울""}"	accept	synthetic_combinatorial_v1	expanded_300_v1			PENDING	synthetic_review_required
s300_SETCOURSE_00028	train	불림 코스로 실행해줘	SET_COURSE	"{""course"":""불림""}"	accept	synthetic_combinatorial_v1	expanded_300_v1			PENDING	synthetic_review_required
s300_SETCOURSE_00029	train	헹굼만 코스로 실행해줘	SET_COURSE	"{""course"":""헹굼만""}"	accept	synthetic_combinatorial_v1	expanded_300_v1			PENDING	synthetic_review_required
s300_SETCOURSE_00030	train	탈수만 코스로 실행해줘	SET_COURSE	"{""course"":""탈수만""}"	accept	synthetic_combinatorial_v1	expanded_300_v1			PENDING	synthetic_review_required
s300_SETCOURSE_00031	train	표준 코스로 실행해줘	SET_COURSE	"{""course"":""표준""}"	accept	synthetic_combinatorial_v1	expanded_300_v1			PENDING	synthetic_review_required
s300_SETCOURSE_00032	train	쾌속 코스로 실행해줘	SET_COURSE	"{""course"":""쾌속""}"	accept	synthetic_combinatorial_v1	expanded_300_v1			PENDING	synthetic_review_required
s300_SETCOURSE_00033	train	빨리 끝나는 걸로 해줘	SET_COURSE	{}	reask	synthetic_combinatorial_v1	expanded_300_v1		course_not_specified	PENDING	synthetic_review_required
s300_SETCOURSE_00034	train	불림 코스로 실행해줘	SET_COURSE	"{""course"":""불림""}"	accept	synthetic_combinatorial_v1	expanded_300_v1			PENDING	synthetic_review_required
s300_SETCOURSE_00035	holdout	헹굼만 코스로 실행해줘	SET_COURSE	"{""course"":""헹굼만""}"	accept	synthetic_combinatorial_v1	expanded_300_v1			PENDING	synthetic_review_required
s300_SETCOURSE_00036	holdout	탈수만 코스로 실행해줘	SET_COURSE	"{""course"":""탈수만""}"	accept	synthetic_combinatorial_v1	expanded_300_v1			PENDING	synthetic_review_required
s300_SETCOURSE_00037	holdout	표준 코스로 실행해줘	SET_COURSE	"{""course"":""표준""}"	accept	synthetic_combinatorial_v1	expanded_300_v1			PENDING	synthetic_review_required
s300_SETCOURSE_00038	holdout	쾌속 코스로 실행해줘	SET_COURSE	"{""course"":""쾌속""}"	accept	synthetic_combinatorial_v1	expanded_300_v1			PENDING	synthetic_review_required
s300_SETCOURSE_00039	holdout	울 코스로 90도 돌려줘	SET_COURSE	"{""course"":""울"",""temperature_c"":90}"	reask_or_reject	synthetic_combinatorial_v1	expanded_300_v1	course_temperature_conflict		PENDING	synthetic_review_required
s300_SETCOURSE_00040	holdout	불림 코스로 실행해줘	SET_COURSE	"{""course"":""불림""}"	accept	synthetic_combinatorial_v1	expanded_300_v1			PENDING	synthetic_review_required
